6s 2S1/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
5d 2D3/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
5d 2D5/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
6p 2P*1/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
6p 2P*3/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
7s 2S1/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
6d 2D3/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
6d 2D5/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f 2F*5/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f 2F*7/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
7p 2P*1/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
7p 2P*3/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
5f 2F*5/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
5f 2F*7/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
8s 2S1/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
7d 2D3/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
7d 2D5/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
8p 2P*1/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
8p 2P*3/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
6f 2F*5/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
