4f14.6s 2S1/2,-3.49724008 gigahertz,0.0 gigahertz,0.0 gigahertz
4f13.(2F*).6s2 2F*7/2,-0.239 gigahertz,-5.33 gigahertz,-0.0156 megahertz
4f13.(2F*).6s2 2F*5/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f14.5d 2D3/2,-0.11031 gigahertz,0.9514 gigahertz,0.0 gigahertz
4f14.5d 2D5/2,0.00347 gigahertz,1.1904 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[3/2]*5/2,-0.055 gigahertz,-1.72 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[3/2]*3/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(1D) 1[3/2]*3/2,-0.608 gigahertz,0.0 gigahertz,0.0 gigahertz
4f14.6p 2P*1/2,-0.5812 gigahertz,0.0 gigahertz,0.0 gigahertz
4f14.6p 2P*3/2,-0.245 gigahertz,1.46 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[11/2]*9/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[11/2]*11/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[11/2]*13/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[5/2]*7/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[5/2]*5/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[5/2]*3/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[7/2]*9/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[7/2]*5/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[7/2]*7/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
4f13.(2F*<7/2>).5d.6s.(3D) 3[9/2]*7/2,0.0 gigahertz,0.0 gigahertz,0.0 gigahertz
